"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 10 17:52:25 CST 2021","Fri Dec 10 17:52:28 CST 2021","3133","","post comment","","post comment","post a thank comment","post a thank comment",""
"passed","Thu Dec 16 22:13:32 CST 2021","Thu Dec 16 22:13:35 CST 2021","3276","","write new articles","","write new articles","failed because description","failed because description",""
"passed","Fri Dec 10 17:17:31 CST 2021","Fri Dec 10 17:17:37 CST 2021","6237","","Sign up the account","","Sign up the account","failed sign up with repeated username and email","failed sign up with repeated username and email",""
"passed","Fri Dec 10 17:17:37 CST 2021","Fri Dec 10 17:17:42 CST 2021","4516","","Sign up the account","","Sign up the account","failed sign up with repeated username","failed sign up with repeated username",""
"passed","Thu Dec 16 22:13:22 CST 2021","Thu Dec 16 22:13:32 CST 2021","9727","","write new articles","","write new articles","failed because title","failed because title",""
"broken","Thu Dec 16 22:23:09 CST 2021","Thu Dec 16 22:23:19 CST 2021","10193","","write new articles","","write new articles","failed beacuse title not unique","failed beacuse title not unique",""
"passed","Mon Dec 13 17:25:28 CST 2021","Mon Dec 13 17:25:35 CST 2021","7066","","Sign in the account","","Sign in the account","should deny access with wrong info","should deny access with wrong info",""
"passed","Fri Dec 10 17:46:26 CST 2021","Fri Dec 10 17:46:38 CST 2021","11788","","like article","","like article","like article","like article",""
"passed","Fri Dec 10 17:45:15 CST 2021","Fri Dec 10 17:45:28 CST 2021","12218","","delete article","","delete article","delete first article","delete first article",""
"passed","Thu Dec 16 22:28:41 CST 2021","Thu Dec 16 22:28:57 CST 2021","15944","","delete article","","delete article","delete first article","delete first article",""
"passed","Fri Dec 10 17:42:51 CST 2021","Fri Dec 10 17:43:07 CST 2021","16006","","edit article","","edit article","edit article","edit article",""
"passed","Fri Dec 10 17:52:11 CST 2021","Fri Dec 10 17:52:25 CST 2021","13482","","post comment","","post comment","post a blank comment","post a blank comment",""
"passed","Thu Dec 16 22:28:25 CST 2021","Thu Dec 16 22:28:28 CST 2021","2779","","write new articles","","write new articles","failed because blank content","failed because blank content",""
"passed","Thu Dec 16 22:23:06 CST 2021","Thu Dec 16 22:23:09 CST 2021","3354","","write new articles","","write new articles","successfully write a new article but tags empty","successfully write a new article but tags empty",""
"passed","Thu Dec 16 22:28:13 CST 2021","Thu Dec 16 22:28:23 CST 2021","9846","","write new articles","","write new articles","failed because blank title","failed because blank title",""
"passed","Fri Dec 10 17:17:47 CST 2021","Fri Dec 10 17:17:53 CST 2021","6002","","Sign up the account","","Sign up the account","successfully sign up the account","successfully sign up the account",""
"passed","Thu Dec 16 22:30:27 CST 2021","Thu Dec 16 22:30:31 CST 2021","4439","","Sign up the account","","Sign up the account","failed sign up with repeated username","failed sign up with repeated username",""
"broken","Thu Dec 09 10:33:55 CST 2021","Thu Dec 09 10:34:18 CST 2021","23098","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Dec 10 17:41:53 CST 2021","Fri Dec 10 17:42:07 CST 2021","14027","","write new articles","","write new articles","successfully write a new article","successfully write a new article",""
"passed","Thu Dec 16 22:28:28 CST 2021","Thu Dec 16 22:28:33 CST 2021","4516","","write new articles","","write new articles","successfully write a new article","successfully write a new article",""
"passed","Mon Dec 13 17:25:35 CST 2021","Mon Dec 13 17:25:40 CST 2021","4814","","Sign in the account","","Sign in the account","should allow access with correct info","should allow access with correct info",""
"passed","Thu Dec 09 10:51:45 CST 2021","Thu Dec 09 10:51:59 CST 2021","14345","","write new articles","","write new articles","write a new article","write a new article",""
"passed","Thu Dec 16 22:30:31 CST 2021","Thu Dec 16 22:30:36 CST 2021","4925","","Sign up the account","","Sign up the account","failed sign up with repeated email","failed sign up with repeated email",""
"passed","Thu Dec 16 22:30:19 CST 2021","Thu Dec 16 22:30:27 CST 2021","7435","","Sign up the account","","Sign up the account","failed sign up with repeated username and email","failed sign up with repeated username and email",""
"passed","Thu Dec 16 22:28:23 CST 2021","Thu Dec 16 22:28:25 CST 2021","2782","","write new articles","","write new articles","failed because blank description","failed because blank description",""
"passed","Fri Dec 10 15:23:45 CST 2021","Fri Dec 10 15:24:01 CST 2021","16219","","like/edit/delete article and comment","","like/edit/delete article and comment","like article","like article",""
"passed","Fri Dec 10 17:17:42 CST 2021","Fri Dec 10 17:17:47 CST 2021","5478","","Sign up the account","","Sign up the account","failed sign up with repeated email","failed sign up with repeated email",""
"skipped","Fri Dec 10 17:01:30 CST 2021","Fri Dec 10 17:01:30 CST 2021","0","","post comment","","post comment","post a blank comment","post a blank comment",""
"passed","Fri Dec 17 15:08:29 CST 2021","Fri Dec 17 15:08:43 CST 2021","13288","","like article","","like article","like article","like article",""
